m,r,l,P,T,rho,epsilon,nabla,convective_status
2.6843533254423695e+28,421237921.49124086,1.454766332419445e+30,1.9712377764420874e+17,17014482.89339892,85.65776545077794,54.143761923803126,0.4,1
6.982541481558395e+29,1249348990.7088175,3.7177546002507127e+31,1.9571144521487434e+17,16965616.047276136,85.28940385934749,52.51155970806582,0.4,1
1.3696647630572553e+30,1564283528.726352,7.2084181919862925e+31,1.948145387370591e+17,16934471.689935375,85.05492755251905,51.50583723723423,0.4,1
2.041075377958671e+30,1787439265.2658224,1.0637909522381448e+32,1.9405743073208742e+17,16908115.15777604,84.8566587408627,50.67500211250382,0.4,1
2.7124859928600873e+30,1965717979.3155947,1.4015388372943961e+32,1.9338658460425277e+17,16884707.549803257,84.68073261915765,49.9523282384922,0.4,1
3.383896607761503e+30,2117696156.382726,1.73470272549558e+32,1.9276082061924723e+17,16862833.732916694,84.51638444566188,49.28958705459676,0.4,1
4.0553072226629187e+30,2250356439.6859746,2.063601885469642e+32,1.921786913809984e+17,16842445.97938996,84.36330863994367,48.68262014115754,0.4,1
4.7267178375643347e+30,2368598540.668405,2.388534652618173e+32,1.9163414925551546e+17,16823337.460822035,84.21996626077751,48.122987167382306,0.4,1
5.398128452465751e+30,2476147907.173995,2.7097889075760895e+32,1.9111909992603885e+17,16805230.72984815,84.084252700329,47.60079832637592,0.4,1
6.069539067367167e+30,2575555723.4476376,3.0276420762116338e+32,1.906234023930403e+17,16787777.720139813,83.95349421014944,47.10476738310571,0.4,1
6.740949682268583e+30,2668309415.935058,3.342312688157136e+32,1.9014003998730995e+17,16770737.862452582,83.82583256446739,46.62725097555597,0.4,1
7.412360297169999e+30,2755306307.913411,3.653886937722909e+32,1.896720311148645e+17,16754215.814235952,83.7020951103128,46.17055419430194,0.4,1
8.083770912071413e+30,2837205344.657988,3.9624677729996676e+32,1.892187007089839e+17,16738188.732045962,83.58212109302077,45.733387408746566,0.4,1
8.755181526972829e+30,2914605006.9500933,4.26815760447559e+32,1.8877917714538547e+17,16722626.996822942,83.46569475297024,45.31434532096822,0.4,1
9.426592141874245e+30,2988045896.0592823,4.571057220666616e+32,1.8835252102955338e+17,16707498.652547292,83.35257975868656,44.91203069933973,0.4,1
1.0098002756775661e+31,3058010733.7433634,4.871265788116445e+32,1.8793772519673878e+17,16692769.406239482,83.24251915827693,44.52505224982157,0.4,1
1.0769413371677077e+31,3124924362.2483945,5.168880851396544e+32,1.8753371471195974e+17,16678402.62796005,83.13523533576647,44.152022617769326,0.4,1
1.1440823986578492e+31,3189153744.3086853,5.463998333106137e+32,1.8713934687000125e+17,16664359.350809611,83.03042996963065,43.79155656064848,0.4,1
1.211223460147991e+31,3251007963.1467967,5.7567125338722126e+32,1.8675341119541514e+17,16650598.270928843,82.92778399059041,43.44226933201156,0.4,1
1.2783645216381324e+31,3310738222.4735413,6.0471161323495185e+32,1.863746294425202e+17,16637075.7474985,82.82695753550601,43.10277531723241,0.4,1
1.3455055831282741e+31,3368537846.4879823,6.335300185220571e+32,1.860016555954022e+17,16623745.802739402,82.72758989397528,42.77168696168724,0.4,1
1.4126466446184156e+31,3424543885.296828,6.621353127165805e+32,1.8563312046643523e+17,16610561.655660821,82.6293116550942,42.44765193471197,0.4,1
1.4797877061085573e+31,3478903562.5930834,6.90531451517905e+32,1.852695034270989e+17,16597540.045624804,82.5322582128128,42.13092488585697,0.4,1
1.5469287675986988e+31,3531728807.1951904,7.187208803544965e+32,1.8491133511808534e+17,16584699.344921459,82.43658044391886,41.82178936884701,0.4,1
1.6140698290888403e+31,3583100706.4337034,7.467073130867708e+32,1.8455846803229168e+17,16572034.582782019,82.34224362754861,41.51995682424846,0.4,1
1.681210890578982e+31,3633097155.033768,7.744944302399785e+32,1.842107528688807e+17,16559540.72680745,82.24921224058937,41.225147229360616,0.4,1
1.7483519520691235e+31,3681792855.1151223,8.020858790042043e+32,1.8386803853328074e+17,16547212.682968464,82.15744996062178,40.937088695203535,0.4,1
1.8154930135592652e+31,3729259316.192097,8.294852732343675e+32,1.835301721371856e+17,16535045.295605507,82.06691966885214,40.65551708378714,0.4,1
1.8826340750494067e+31,3775564855.173616,8.566961934502218e+32,1.8319699899855475e+17,16523033.347428767,81.97758345302044,40.38017564474838,0.4,1
1.9497751365395484e+31,3820774596.363194,8.837221868363557e+32,1.8286836264161315e+17,16511171.559518171,81.88940261026936,40.11081467049439,0.4,1
2.0169161980296899e+31,3864950471.458939,9.105667672421915e+32,1.825441047968514e+17,16499454.591323383,81.8023376499603,39.84719116903966,0.4,1
2.0840572595198314e+31,3908151219.5535517,9.372334151819866e+32,1.822240654010255e+17,16487877.040663812,81.71634829642123,39.589068553773735,0.4,1
2.151198321009973e+31,3950432387.1343236,9.637255778348324e+32,1.8190808259715722e+17,16476433.443728603,81.63139349161185,39.33621634943501,0.4,1
2.2183393825001143e+31,3991846328.083141,9.900466690446552e+32,1.815959927345337e+17,16465118.275076637,81.54743139769033,39.0884099136147,0.4,1
2.285480443990256e+31,4032442203.6764803,1.0162000693202152e+33,1.8128763036870774e+17,16453925.947636541,81.46441939946658,38.84543017315006,0.4,1
2.3526215054803978e+31,4072265982.585412,1.042189125835108e+33,1.809828282614977e+17,16442850.812706677,81.38231410672627,38.60706337480285,0.4,1
2.4197625669705392e+31,4111360440.875597,1.0680171524277622e+33,1.8068141738098742e+17,16431887.15995515,81.30107135640968,38.37310084965526,0.4,1
2.4869036284606807e+31,4149765162.0072913,1.0936874296014423e+33,1.8038322690152637e+17,16421029.217419798,81.22064621462964,38.143338790690024,0.4,1
2.554044689950822e+31,4187516536.8353405,1.1192032045242466e+33,1.800880842037296e+17,16410271.151508205,81.14099297851166,37.91757804304575,0.4,1
2.621185751440964e+31,4224647763.609185,1.144567691029108e+33,1.797958148744776e+17,16399607.06699769,81.06206517784025,37.695623906476285,0.4,1
2.6883268129311056e+31,4261188847.972855,1.1697840696137933e+33,1.7950624270691658e+17,16389031.007035317,80.98381557649458,37.477285949561406,0.4,1
2.755467874421247e+31,4297166602.964975,1.1948554874409046e+33,1.7921918970045818e+17,16378536.953137882,80.90619617365627,37.262377835246205,0.4,1
2.8226089359113886e+31,4332604649.018763,1.2197850583378785e+33,1.7893447606077962e+17,16368118.825191924,80.82915820477255,37.05071715731025,0.4,1
2.88974999740153e+31,4367523413.962025,1.2445758627969847e+33,1.7865192019982374e+17,16357770.481453726,80.75265214225693,36.84212528738539,0.4,1
2.956891058891672e+31,4401940133.017164,1.2692309479753294e+33,1.7837133873579888e+17,16347485.718549302,80.67662769590999,36.63642723216448,0.4,1
3.0240321203818135e+31,4435868848.801172,1.2937533276948517e+33,1.7809254649317894e+17,16337258.27147441,80.6010338130423,36.43345150046215,0.4,1
3.091173181871955e+31,4469321140.940305,1.3181458983665162e+33,1.7781537176373978e+17,16327082.336197741,80.52582300849542,36.233040445528694,0.4,1
3.1583142433620965e+31,4502325384.306215,1.3424089774968932e+33,1.77540071928508e+17,16316966.789638607,80.4510695213052,36.03533254856579,0.4,1
3.225455304852238e+31,4534900658.787667,1.3665430760989163e+33,1.7726678306230176e+17,16306916.32160645,80.37681359257357,35.840379471447775,0.4,1
3.29259636634238e+31,4567057597.965354,1.3905495323097287e+33,1.769954768328991e+17,16296929.98688149,80.30304884907551,35.64812064555632,0.4,1
3.3597374278325214e+31,4598806642.066326,1.4144296757837197e+33,1.767261249590567e+17,16287006.842050668,80.22976888714788,35.45849691599551,0.4,1
